year,district,constituency,link
1952,CALCUTTA,BELEGHATA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BELEGHATA/1952--172-BELEGHATA.C-(881).pdf
1952,CALCUTTA,BELGACHIA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BELGACHIA/1952--170-BELGACHIA-%20(926).pdf
1952,CALCUTTA,BENIAPUKUR BALLYGUNGE,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BENIAPUKUR%20BALLYGUNGE/1952--178-BENIAPUKUR%20BALLYGUNGE%20A.C-(2054)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BENIAPUKUR%20BALLYGUNGE/1952--178-BENIAPUKUR%20BALLYGUNGE%20A.C-(2054)-PART-2.pdf"
1952,CALCUTTA,BHOWANIPUR,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BHOWANIPUR/1952--179-BHOWANIPUR%20A.C-(900).pdf
1952,CALCUTTA,BOWBAZAR,"https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BOWBAZAR/1952--186-BOWBAZAR%20A.C-(1768)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BOWBAZAR/1952--186-BOWBAZAR%20A.C-(1768)-PART-2.pdf"
1952,CALCUTTA,BURTOLA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/BURTOLA/1952--BURTOLA-(1013).pdf
1952,CALCUTTA,COSSIPORE,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/COSSIPORE/1952--COSSIPORE%20A.C-(1108).pdf
1952,CALCUTTA,ENTALLY,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/ENTALLY/1952--187-ENTALLY-(998).pdf
1952,CALCUTTA,FORT,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/FORT/1952--185-FORT/PORT%20AREA-(1111).pdf
1952,CALCUTTA,JORABAGAN,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/JORABAGAN/1952--168-JORABAGAN-(577).pdf
1952,CALCUTTA,JORASANKO,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/JORASANKO/1952--169-JORASANKO-(1072).pdf
1952,CALCUTTA,KALIGHAT,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/KALIGHAT/1952--180-KALIGHAT-(900).pdf
1952,CALCUTTA,KALUTALA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/KALUTALA/1952--174-KALUTALA-(959).pdf
1952,CALCUTTA,MANIKTOLA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/MANIKTOLA/1952--171-MANIKTOLA-(900).pdf
1952,CALCUTTA,MUCHIPARA,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/MUCHIPARA/1952--167-MUCHIPARA%20A.C-(890).pdf
1952,CALCUTTA,SEALDAH,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/SEALDAH/1952--175-SEALDAH-(829).pdf
1952,CALCUTTA,SHYAMPUKUR,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/SHYAMPUKUR/1952--164-SHYAMPUKUR-(1010).pdf
1952,CALCUTTA,TALTOLA AC,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/TALTOLA/1952--177-TALTOLA%20A.C-(1021).pdf
1952,CALCUTTA,TOLLYGUNGE,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/TOLLY%20GUNGE/1952--182-TOLLY%20GUNGE%20A.C%20SOUTH-(1060).pdf
1952,CALCUTTA,VIDYASAGAR,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/VIDYASAGAR/1952--176-VIDYASAGAR-(1045).pdf
1952,CALCUTTA,WATGUNGE,https://oldelectoralrolls.wb.gov.in/%20PDF_LINK/1952/CALCUTTA/WATGUNGE/1952--183-WATGUNGE%20A.C-(800).pdf
