year,district,constituency,link,new_links
1966,BURDWAN,BHATAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/BHATAR/1966-68--254-BHATAR%20(BURDWAN)-(1007).pdf,https://drive.google.com/file/d/1GTbyf0BCJ6PM1ki1QD7-7va1CEi9u4A_/view?usp=sharing
1966,BURDWAN,DURGAPUR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/DURGAPUR/1966---251-DURGAPUR%20%20A.C(BURDWAN)-(1137)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/DURGAPUR/1966---251-DURGAPUR%20%20A.C(BURDWAN)-(1137)-PART-2.pdf","https://drive.google.com/file/d/1x4P40P_B2KzMJcglax3BC9XzomJgX4wx/view?usp=sharing, https://drive.google.com/file/d/1lgijGuPsAImwk-LV680rgKawhOAS5H9s/view?usp=sharing"
1966,BURDWAN,FARIDPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/FARIDPUR/1966---252-FARIDPUR%20A.C(BURDWAN)-(798).pdf,https://drive.google.com/file/d/1FQdDxARexIP_yUoTEfIQuh5koRQ9L7OI/view?usp=sharing
1966,BURDWAN,GALSI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/GALSI/1966---255%20GALSI%20A.C%20(BURDWAN)-(954).pdf,https://drive.google.com/file/d/1w8VelVlDuCc-k4JD-d65pLbK9JJLh59G/view?usp=sharing
1966,BURDWAN,HIRAPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/HIRAPUR/1966---244-HIRAPUR%20A.C%20%20(BURDWAN)%20-(%20792).pdf,https://drive.google.com/file/d/1R_bK5VFXLY3edUfp4qPfyrlYoJ9ykeQF/view?usp=sharing
1966,BURDWAN,JAMALPUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/JAMALPUR/1966---260-JAMALPUR%20(S.C)%20A.C%20(BURDWAN)-(915).pdf,https://drive.google.com/file/d/1VkxRd8AykVYTti6MkVe8OXdbf4dt9g3f/view?usp=sharing
1966,BURDWAN,JAMURIA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/JAMURIA/1966---249-JAMURIA%20A.C(BURDWAN)-(560).pdf,https://drive.google.com/file/d/17LlMp9LLSP4SkhhF80Q6UrIlash2Mbas/view?usp=sharing
1966,BURDWAN,KATUGRAM,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/KATUGRAM/1966--268-KATUGRAM%20(BURDWAN)-(976).pdf,https://drive.google.com/file/d/1WTM2mZP7FGAaxdLW2RgmBs-szACbK1xI/view?usp=sharing
1966,BURDWAN,KATWA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/KATWA/1966---266-KATWA%20A.C(BURDWAN)-(1029).pdf,https://drive.google.com/file/d/1wY9_Cc_6TIT96B3X-vDAvgOAIe40QDnb/view?usp=sharing
1966,BURDWAN,KETUGRAM,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/KETUGRAM/1966---268-KETUGRAM%20A.C(BURDWAN)-(1066).pdf,https://drive.google.com/file/d/1Y_wyNyiDE_ZR6I6nRtzM_NnrPjlmd3pH/view?usp=sharing
1966,BURDWAN,KULTI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/KULTI/1966---245-KULTI%20A.C(%20BURDWAN)-(836).pdf,https://drive.google.com/file/d/1VnqgXs6sEFqRfpnyQi4VThjvihTXBjtR/view?usp=sharing
1966,BURDWAN,MEMARI,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/MEMARI/1966---261-MEMARI%20A.C%20(BURDWAN)-(1200)%20-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/MEMARI/1966---261-MEMARI%20A.C%20(BURDWAN)-(1200)-PART-2.pdf","https://drive.google.com/file/d/1bGQDdgNXbPVwd3dA9HYvkKt_WmxQWJjO/view?usp=sharing, https://drive.google.com/file/d/1BIfTMys3nYF8-zhyFn1UyWKm5lX87BwE/view?usp=sharing"
1966,BURDWAN,MONTESWAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/MONTESWAR/1966---264-MONTESWAR%20A.C(BURDWAN)-(989).pdf,https://drive.google.com/file/d/1L9GAJRZaS9lMRQQtp5Iwp8KxlxWo2qGE/view?usp=sharing
1966,BURDWAN,PURBASTHALI,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/PURBASTHALI/1966---265-PURBASTHALI%20A.C(BURDWAN)-(616).pdf,https://drive.google.com/file/d/1K6giifb8rpcPUDHmQZ0lgaZFu-to0AxX/view?usp=sharing
1966,BURDWAN,RAINA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/RAINA/1966---259-RAINA%20A.C(BURDWAN)-(965).pdf,https://drive.google.com/file/d/1KrnqTXkfrm-xXk7kaiTQCnwfGqiITEiM/view?usp=sharing
1966,BURDWAN,RANIGANJ,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/RANIGANJ/1966---248-RANIGANJ%20A.C(BURDWAN)-(815).pdf,https://drive.google.com/file/d/1jt2FTb1pMGikEw_b9WhryxzdIfMBVtf6/view?usp=sharing
1966,BURDWAN,UKHRA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1966/BURDWAN/UKHRA/1966---250--UKHRA%20A.C(BURDWAN)-(767).pdf,https://drive.google.com/file/d/1LGieM7BEDQ_Z8Re31788vcPntNiAtySR/view?usp=sharing
1966,CALCUTTA,ALIPORE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/ALIPORE/1966--ALIPORE%20(CALCUTTA)-(1205)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/ALIPORE/1966--ALIPORE%20(CALCUTTA)-(1205)-PART-2.pdf","https://drive.google.com/file/d/1xVFZe9pnVRekEn2hGs-Sayg9Si9FSLLl/view?usp=sharing, https://drive.google.com/file/d/1_nRCcygN82eaX3s4-NGImnKIbd-JE4hT/view?usp=sharing"
1966,CALCUTTA,BALLYGUNGE,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BALLYGUNGE/1966--141-BALLYGUNGE%20(CALCUTTA)-(1257)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BALLYGUNGE/1966--141-BALLYGUNGE%20(CALCUTTA)-(1257)-PART-2.pdf","https://drive.google.com/file/d/1LThlwbU4ZA8k9I1usgPMAm7_G1eyA8zc/view?usp=sharing, https://drive.google.com/file/d/1_diMTWuSLJ4wI7pQynRMrU6Zk82_mKSU/view?usp=sharing"
1966,CALCUTTA,BARABAZAR,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BARABAZAR/1966--132-BARABAZAR%20(CALCUTTA)-(1461)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BARABAZAR/1966--132-BARABAZAR%20(CALCUTTA)-(1461)-PART-2.pdf","https://drive.google.com/file/d/1qo1TAR0lI0OZUzJpEeR3B0Odm1s3LV2Q/view?usp=sharing, https://drive.google.com/file/d/1GSGpC40AWuYxW9lFztGlONXHR_29PpKt/view?usp=sharing"
1966,CALCUTTA,BELGACHIA,"https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BELGACHIA/1966--BELGACHIA%20(CALCUTTA)-(1537)-PART-1.pdf, https://oldelectoralrolls.wb.gov.in/PDF_LINK/1967/CALCUTTA/BELGACHIA/1966--BELGACHIA%20(CALCUTTA)-(1537)-PART-2.pdf","https://drive.google.com/file/d/1fcdImUpdmA1rMCrOC874jf7ikeK8CFgi/view?usp=sharing, https://drive.google.com/file/d/18gl0nYECIsq18ADYN9dQiPDRnemy3iPl/view?usp=sharing"
