year,district,constituency,link,new_links
1952,CALCUTTA,JORASANKO,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/JORASANKO/1952--169-JORASANKO-(1072).pdf,https://drive.google.com/file/d/1oZydTucfndOIA82BdFqrez2_41UVTZV0/view?usp=sharing
1952,CALCUTTA,KALIGHAT,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/KALIGHAT/1952--180-KALIGHAT-(900).pdf,https://drive.google.com/file/d/16OQM1A6ZTFujqNBAt8-yrIVdVpManv7W/view?usp=sharing
1952,CALCUTTA,KALUTALA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/KALUTALA/1952--174-KALUTALA-(959).pdf,https://drive.google.com/file/d/1mONC8_kije-elSyamoFKDu9X8pTfCZbN/view?usp=sharing
1952,CALCUTTA,MANIKTOLA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/MANIKTOLA/1952--171-MANIKTOLA-(900).pdf,https://drive.google.com/file/d/1tyqecZU46Ic79X8yYGA8-X1fwHLGem52/view?usp=sharing
1952,CALCUTTA,MUCHIPARA,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/MUCHIPARA/1952--167-MUCHIPARA%20A.C-(890).pdf,https://drive.google.com/file/d/12CwPE4QkwelVu3pNy1xVytPWd9nLGkKd/view?usp=sharing
1952,CALCUTTA,SEALDAH,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/SEALDAH/1952--175-SEALDAH-(829).pdf,https://drive.google.com/file/d/1yx4LlN37D4zWmk52CjnqE88X5IW3huln/view?usp=sharing
1952,CALCUTTA,SHYAMPUKUR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/SHYAMPUKUR/1952--164-SHYAMPUKUR-(1010).pdf,https://drive.google.com/file/d/1OJZ28dgR4tn9b0pwH7OX93HhI29hhkfN/view?usp=sharing
1952,CALCUTTA,TALTOLA AC,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/TALTOLA/1952--177-TALTOLA%20A.C-(1021).pdf,https://drive.google.com/file/d/1KHhZ-1wsspraz3Q_MXfC9ElOmx47ifxS/view?usp=sharing
1952,CALCUTTA,TOLLYGUNGE,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/TOLLY%20GUNGE/1952--182-TOLLY%20GUNGE%20A.C%20SOUTH-(1060).pdf,https://drive.google.com/file/d/1hqzb6CFm5dOrCf_5SodoB5pWhUtRHsWG/view?usp=sharing
1952,CALCUTTA,VIDYASAGAR,https://oldelectoralrolls.wb.gov.in/PDF_LINK/1952/CALCUTTA/VIDYASAGAR/1952--176-VIDYASAGAR-(1045).pdf,https://drive.google.com/file/d/1mRGkucDCu4M6j6Z0KeYaFH56uf_3KxBH/view?usp=sharing
